,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
7922,4638051,na,Autos < Adults (18 yrs or older),2,188.7719,6
7923,4638084,"5 More than $100,000",Autos < Adults (18 yrs or older),2,88.75215,11
7924,4638087,"4 $60,000 -  $99,999",0,1,93.00169,2
7925,4638092,"2 $20,000 - $34,999",Autos > Adults (18 yrs or older),1,139.98264,5
7926,4638096,"5 More than $100,000",Autos < Adults (18 yrs or older),2,68.33986999999999,5
7927,4638104,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,139.98264,5
7928,4638116,"5 More than $100,000",Autos < Adults (18 yrs or older),4,285.85571,8
7929,4638144,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,305.72534,4
7930,4638166,"5 More than $100,000",Autos < Adults (18 yrs or older),2,88.75215,6
7931,4638174,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,118.52323999999999,6
7932,4638195,"5 More than $100,000",Autos = Adults (18 yrs or older),1,42.44291,7
7933,4638204,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,92.46248,6
7934,4638219,"5 More than $100,000",Autos < Adults (18 yrs or older),2,60.191875,18
7935,4638377,"1 Less than $20,000",0,2,94.38595,7
7936,4638664,"1 Less than $20,000",0,1,1726.0027899999998,4
7937,4638673,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,110.40037,7
7938,4638681,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,139.98264,2
7939,4638718,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,68.56496,3
7940,4638810,na,Autos > Adults (18 yrs or older),2,301.64429,4
7941,4638837,na,0,1,297.78878,2
7942,4639112,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),3,176.34593,12
7943,4639143,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,44.031459999999996,15
7944,4639180,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,44.031459999999996,4
7945,4639199,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),5,273.92436499999997,62
7946,4639301,"4 $60,000 -  $99,999",0,2,164.38016000000002,10
7947,4639319,"5 More than $100,000",Autos < Adults (18 yrs or older),2,189.170545,16
7948,4639325,"5 More than $100,000",Autos = Adults (18 yrs or older),5,119.52828500000001,56
7949,4639460,"4 $60,000 -  $99,999",0,1,88.06291999999999,4
7950,4639466,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),2,164.38016000000002,13
7951,4639486,"3 $35,000 - $59,999",0,1,149.19651000000002,4
7952,4639508,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,290.91695,4
7953,4639528,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,229.03182,4
7954,4639551,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,311.658,9
7955,4639642,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,468.25077000000005,7
7956,4639712,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,269.04024,4
7957,4639779,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,44.031459999999996,11
7958,4639807,"2 $20,000 - $34,999",Autos > Adults (18 yrs or older),1,134.52012,2
7959,4639817,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,74.59825500000001,5
7960,4639973,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,44.031459999999996,9
